Wall time,Step,Value
1536101080.994838,0,0.028692577034235
1536101303.7842731,1,0.1875360906124115
1536101526.6161847,2,0.31048038601875305
1536101749.495995,3,0.21842390298843384
1536101972.9068632,4,0.24905513226985931
1536102196.1423297,5,0.2870086431503296
1536102419.047091,6,0.16094377636909485
1536102643.8146484,7,0.16914105415344238
1536102866.4007347,8,0.007251447066664696
1536103089.3412642,9,0.10234712809324265
1536103313.2106328,10,0.12098917365074158
1536103536.2445016,11,0.19787627458572388
1536103759.347619,12,0.3233413100242615
1536103982.2053874,13,0.380057692527771
1536104206.0785084,14,0.20098978281021118
1536104428.9256647,15,0.1370358169078827
1536104651.6992984,16,0.215612530708313
1536104874.6860254,17,0.23431971669197083
1536105097.491646,18,0.2265322059392929
1536105321.502314,19,0.18465688824653625
1536105544.3022966,20,0.0074654859490692616
1536105767.1815765,21,0.009481875225901604
1536105990.1833062,22,0.19939810037612915
1536106213.1044521,23,0.15273022651672363
1536106435.920622,24,0.22732070088386536
1536106660.4045107,25,0.0026908100116997957
1536106883.5848174,26,0.15172718465328217
1536107106.7450519,27,0.2969650626182556
1536107329.6515517,28,0.037819620221853256
1536107552.3872156,29,0.0007057179464027286
1536107774.9470294,30,0.2837490439414978
1536107998.1053622,31,0.004650942515581846
1536108221.0788798,32,0.3341185450553894
1536108445.7559037,33,0.22687406837940216
1536108668.3975513,34,0.2641289532184601
1536108891.0450604,35,0.2991926372051239
1536109114.0072062,36,0.2868348956108093
1536109337.1079457,37,0.2930431365966797
1536109560.0803938,38,0.24988840520381927
1536109783.0508645,39,0.2649247944355011
1536110005.97924,40,0.3113621175289154
1536110228.992598,41,0.20485791563987732
1536110452.135047,42,0.4476717710494995
1536110677.7278457,43,0.32313859462738037
1536110900.5338633,44,0.40642616152763367
1536111123.6742473,45,0.30722081661224365
1536111346.5940955,46,0.4481137990951538
1536111569.6846168,47,0.33949366211891174
1536111792.4051447,48,0.40695691108703613
1536112015.3122547,49,0.3200950622558594
1536112238.2597518,50,0.46802547574043274
1536112460.9020975,51,0.4232649803161621
1536112683.4925232,52,0.2982901930809021
1536112906.1327167,53,0.026565000414848328
1536113128.9200666,54,0.32927829027175903
1536113355.0453985,55,0.24437999725341797
1536113577.6491122,56,0.2826298773288727
1536113800.2593677,57,0.1923377513885498
1536114023.2619803,58,0.23659005761146545
1536114246.1015093,59,0.2778244614601135
1536114468.3397958,60,0.06639047712087631
1536114691.0004346,61,0.24010570347309113
1536114913.8438847,62,0.2575276792049408
1536115136.7486537,63,0.3181896507740021
1536115359.6517355,64,0.4102276563644409
1536115582.3723185,65,0.25290581583976746
1536115805.0025434,66,0.40528804063796997
1536116027.7328846,67,0.22410432994365692
1536116250.5704103,68,0.2347365915775299
1536116473.331139,69,0.24351662397384644
1536116695.845286,70,0.2824138402938843
1536116922.3736448,71,0.29579031467437744
1536117144.6301773,72,0.3726036548614502
1536117367.2011395,73,0.25695890188217163
1536117589.9337256,74,0.31099432706832886
1536117812.3110123,75,0.40540772676467896
1536118035.0294294,76,0.32859742641448975
1536118257.494183,77,0.3290402293205261
1536118480.0147605,78,0.1891002655029297
1536118702.717671,79,0.4540497660636902
1536118925.022469,80,0.34843358397483826
1536119147.8407636,81,0.36240583658218384
1536119370.21925,82,0.3555082082748413
1536119592.9163237,83,0.6799172759056091
1536119815.6675713,84,0.5107868313789368
1536120038.5831378,85,0.01309664361178875
1536120260.9924116,86,0.28861868381500244
1536120483.6778364,87,0.3428608179092407
1536120706.4532547,88,0.2953963577747345
1536120928.8908174,89,0.576078474521637
1536121156.5912528,90,0.40455716848373413
1536121379.1744814,91,0.2827025055885315
1536121601.8246925,92,0.3035775423049927
1536121824.3664608,93,0.37305814027786255
1536122047.0742345,94,0.2782425582408905
1536122269.4884048,95,0.24191874265670776
1536122492.0570045,96,0.4624755382537842
1536122714.7366836,97,0.5612887144088745
1536122937.3701818,98,0.41889500617980957
1536123160.0593836,99,0.2736043930053711
