epoch,disc_loss,disc_model_4_acc,disc_model_4_acc_1,disc_model_4_loss,gen_loss,val_disc_loss,val_disc_model_4_acc,val_disc_model_4_acc_1,val_disc_model_4_loss,val_gen_loss
0,0.17817834,0.95,0.9,0.109629296,0.29505977,0.6075307270288467,0.983800011396408,0.0,0.4917266241312027,0.19164720898866652
1,0.31762055,0.98,0.5,0.2312716,0.2983909,0.5364762998819351,0.887360000371933,0.010679999768733978,0.3498420864343643,0.21967865854501725
2,0.26128623,0.89,0.91,0.13021348,0.1425918,0.563904904127121,0.9938800057172775,0.0007599999830126763,0.3816958938241005,0.2244196086227894
3,0.36977574,0.48,0.94,0.1341068,0.2924513,0.6007050722837448,0.827959998011589,0.08732000007852912,0.3306676847934723,0.29270013910532
4,0.27022758,0.96,0.78,0.14488196,0.09508437,0.6287325575351715,0.9761600098609924,0.0,0.3629863881468773,0.29516581946611403
5,0.14488891,1.0,0.99,0.07383505,0.13417292,0.6092997821569442,0.9995200004577637,3.999999910593033e-05,0.3564850602149963,0.28112955325841904
6,0.4005903,0.84,0.44,0.24185415,0.2136014,0.6180672404766083,0.5828599988818168,0.6544799998998642,0.2944785262346268,0.33843403941392897
7,0.2508936,0.89,0.92,0.12566711,0.12174991,0.6362733470201493,0.9707800070047379,0.020099999632686376,0.35325651651620865,0.2920515376925468
8,0.28258228,0.96,0.74,0.17571346,0.09968726,0.6381286851167679,0.7475200004577637,0.03439999959245324,0.3389794416427612,0.3050926561355591
9,0.3942844,0.66,0.82,0.19672525,0.2039592,0.6653112392425538,0.894780000925064,0.008079999823123216,0.3512037344574928,0.326080409348011
10,0.32833344,0.68,0.91,0.12520625,0.21043368,0.6843639861345291,0.9734800087213517,0.007199999839067459,0.3654038573503494,0.33077024841308594
11,0.42925242,0.76,0.34,0.2660524,0.35787046,0.6699289016723633,0.7837999991178513,0.019639999601989984,0.34852433228492735,0.33231344157457354
12,0.33692896,0.86,0.66,0.18554877,0.2111221,0.642842389702797,0.9941800053119659,0.0008199999816715717,0.3567208067178726,0.2923144024014473
13,0.37509763,0.73,0.7,0.18830423,0.36119094,0.7018708425760269,0.9780000109672546,0.13986000008136035,0.3692895073890686,0.3345218582749367
14,0.46681798,0.38,0.63,0.20436628,0.18951254,0.6177400563955306,0.997780002117157,0.001219999972730875,0.34998793083429336,0.27597735899686815
15,0.15536785,0.99,1.0,0.07824354,0.4001284,0.6764747942686081,0.9976200022697449,0.00047999998927116395,0.36168783968687057,0.3315556909441948
16,0.33928242,0.56,0.98,0.12067168,0.25675982,0.7078539046049118,0.19482000032067298,0.9320800018310547,0.3380977762937546,0.3715506365299225
17,0.42319667,0.36,0.98,0.15033516,0.25748438,0.6429137308597564,0.6353999993801117,0.8662000013589859,0.31009198755025863,0.3387967287302017
18,0.2258881,0.83,1.0,0.07687285,0.059379954,0.6921522001028061,0.968780007481575,0.28894000095129013,0.36300853377580644,0.3406865531206131
19,0.34305727,0.86,0.66,0.19170803,0.24602503,0.6657537208795548,0.9903000082969665,0.026119999598711727,0.36068059581518175,0.3153401556611061
20,0.34376276,0.73,0.88,0.15529451,0.2979822,0.668909887433052,0.9553000017404556,0.09671999995782972,0.36281187170743945,0.3164754334688187
21,0.33812252,0.49,0.97,0.102743424,0.21622564,0.6985960973501205,0.994380005121231,0.032839999575167894,0.36428958094120023,0.3434850881099701
22,0.45155644,0.26,0.76,0.18360756,0.29241413,0.703744129896164,0.991640007019043,0.2440399998128414,0.3622825997471809,0.34585218381881716
23,0.48282784,0.13,0.85,0.14655846,0.27514952,0.6578714282512664,0.8421399977207183,0.9639400049448014,0.32511344200372694,0.33607729905843736
24,0.27329054,0.99,0.76,0.18804304,0.3039579,0.6621426571607589,0.9984000015258789,0.00417999990656972,0.36887039911746977,0.30457619535923003
25,0.3490289,0.46,0.91,0.120904,0.20884874,0.7211169598102569,0.7092800015211105,0.0003199999928474426,0.37490671646595003,0.35264840185642243
26,0.31215298,0.75,0.87,0.1411681,0.3131142,0.7187816785573959,0.6624000021219254,0.6474399998188018,0.3537320148348808,0.36959669589996336
27,0.2954489,0.92,0.89,0.15470326,0.2611987,0.7060406103134155,0.9880600098371506,0.11049999964237213,0.37221682196855543,0.3388866574168205
28,0.29985708,0.94,0.68,0.19502538,0.2666242,0.731032747387886,0.9369600013494491,3.999999910593033e-05,0.38620824056863784,0.3475556646585464
29,0.30758896,0.95,0.68,0.18973656,0.3083238,0.7323101993799209,0.8905999991893768,0.21011999979615212,0.3804758944511414,0.3572640587687492
