epoch,disc_loss,disc_model_3_acc,disc_model_3_acc_1,disc_model_3_acc_2,disc_model_3_loss,gen_loss,val_disc_loss,val_disc_model_3_acc,val_disc_model_3_acc_1,val_disc_model_3_acc_2,val_disc_model_3_loss,val_gen_loss
38,-576.2784,0.0,1.0,1.0,0.039349984,-91202.01,-59206.34981119791,0.0,1.0,1.0,7.825470544497172,-91040.120390625
39,-1944.6377,0.0,1.0,1.0,0.45615795,-50853.344,-19833.203888346354,0.0,1.0,1.0,8.653123388290405,-52601.31998046875
40,27.420729,0.0,1.0,1.0,0.036604144,-81626.47,-50365.06076822917,0.0,1.0,1.0,7.198665006955465,-81622.79342447917
41,-1346.6874,0.0,1.0,1.0,1.4562613,-45514.59,-12766.955649414063,0.0,1.0,1.0,9.372376665274302,-46169.9928515625
42,-924.98364,0.0,1.0,1.0,17.79773,-75723.56,-42301.1669921875,0.0,1.0,1.0,63.87472289403279,-75985.36731770834
43,-425.12866,0.0,1.0,1.0,0.03322733,-91094.07,-58466.11738932291,0.0,1.0,1.0,6.654744955301285,-91062.51544270833
44,-424.94592,0.0,1.0,1.0,0.053846397,-89394.48,-56624.989069010415,0.0,1.0,1.0,6.969639093875885,-89423.95752604166
45,-529.59283,0.0,1.0,1.0,0.024309829,-96105.41,-62899.43166015625,0.0,1.0,1.0,6.374578811327616,-96471.15638020834
46,-590.18585,0.0,1.0,1.0,0.04548027,-101818.96,-68189.47078125,0.0,1.0,1.0,6.349281768401464,-102038.0557421875
47,403.4109,0.0,1.0,1.0,0.21687032,-88652.49,-54587.80535807292,0.0,1.0,1.0,6.015944593747457,-88738.33235677083
48,-465.16714,0.0,1.0,1.0,0.02312901,-93212.46,-58905.96630859375,0.0,1.0,1.0,5.964952835241953,-92980.57294270833
49,-878.2366,0.0,1.0,1.0,0.066968754,-95896.85,-61997.331217447914,0.0,1.0,1.0,5.985347169240316,-96135.25123697917
50,-982.5289,0.0,1.0,1.0,0.051021803,-99382.83,-66879.00438802084,0.0,1.0,1.0,5.41941997329394,-99569.81735677083
51,-905.6431,0.0,1.0,1.0,0.047408294,-72913.98,-36002.49916666667,0.0,1.0,1.0,5.6973462160428365,-73731.18858072917
52,-495.35193,0.0,1.0,1.0,23.97965,-110473.64,-75982.60627604167,0.0,1.0,1.0,56.077933127085366,-110504.7017578125
53,-1095.3076,0.0,1.0,1.0,0.14111772,-120485.06,-85360.8972265625,0.0,1.0,1.0,5.75182931303978,-120862.70569010417
54,-898.19586,0.0,1.0,1.0,4.1132264,-101392.57,-64648.3045703125,0.0,1.0,1.0,7.077112754980723,-101372.7187890625
55,1033.5334,0.0,1.0,1.0,6.854904,-141147.4,-106443.38865885416,0.0,1.0,1.0,5.4624515553315485,-141845.18432291667
56,-940.1511,0.0,1.0,1.0,0.05363824,-83334.06,-46382.347884114584,0.0,1.0,1.0,4.826430404583613,-83800.96404947917
57,-1196.6979,0.0,1.0,1.0,22.375526,-141319.84,-107008.940390625,0.0,1.0,1.0,20.33435400009155,-143174.37932291668
58,-668.3881,0.0,1.0,1.0,0.12290889,-104214.15,-68893.31736979166,0.0,1.0,1.0,4.674452233711879,-104585.703359375
59,-123.17073,0.0,1.0,1.0,0.039958477,-106651.1,-70897.59212239583,0.0,1.0,1.0,4.616841042041779,-106766.04575520834
60,-1111.7622,0.0,1.0,1.0,0.02846688,-123420.85,-86360.55453125,0.0,1.0,1.0,4.912246315081914,-123486.69114583333
61,158.91441,0.0,1.0,1.0,0.028941967,-100543.16,-65274.56529947917,0.0,1.0,1.0,4.45814782500267,-100718.86380208333
62,-480.2506,0.0,1.0,1.0,0.058533896,-89429.35,-54754.35859375,0.0,1.0,1.0,4.5671474631627405,-89433.38822916667
63,-565.4214,0.0,1.0,1.0,0.03911042,-111391.74,-76821.98688802084,0.0,1.0,1.0,4.352399102449417,-111453.48009114583
64,-1156.4259,0.0,1.0,1.0,0.057409238,-129202.79,-95568.66938802083,0.0,1.0,1.0,4.897875491778056,-129947.99821614583
65,-463.86322,0.0,1.0,1.0,0.18477237,-116131.26,-82893.3137109375,0.0,1.0,1.0,4.854787886937459,-116557.036875
66,94.16335,0.0,1.0,1.0,0.07024125,-77907.984,-43238.2617578125,0.0,1.0,1.0,4.403720360596974,-78251.1716796875
67,-1035.3212,0.0,1.0,1.0,0.29835093,-58737.465,-23255.48709309896,0.0,1.0,1.0,4.977370456059774,-59816.42219401042
68,-494.00235,0.0,1.0,1.0,0.04039126,-90549.22,-56894.09373046875,0.0,1.0,1.0,4.600770343144735,-90382.38118489583
69,-1361.421,0.0,1.0,1.0,0.66023684,-140077.45,-106319.7200390625,0.0,1.0,1.0,9.170017721652984,-141317.15973958332
70,-953.3448,0.0,1.0,1.0,2.2748942,-76714.79,-43100.92438802083,0.0,1.0,1.0,15.266476947466533,-76896.4820703125
71,-297.12332,0.0,1.0,1.0,0.023604512,-113702.93,-79590.36993489583,0.0,1.0,1.0,4.328024371067683,-114084.67880208333
72,-335.47906,0.0,1.0,1.0,20.620842,-98411.56,-64274.27453125,0.0,1.0,1.0,34.94316156387329,-98638.549765625
73,-75.636856,0.0,1.0,1.0,0.11053293,-104265.21,-68724.3195703125,0.0,1.0,1.0,4.313992328643799,-104477.62223958333
74,-979.30115,0.0,1.0,1.0,0.048007388,-78139.27,-43539.188665364585,0.0,1.0,1.0,4.398630092541377,-78432.97680989583
75,-1900.2183,0.0,1.0,1.0,0.04067014,-70709.59,-35981.96600260417,0.0,1.0,1.0,4.199830205043157,-71694.7930078125
76,-144.345,0.0,1.0,1.0,10.493626,-100609.48,-65842.16490234375,0.0,1.0,1.0,8.530084612369537,-100629.57171875
77,-333.5468,0.0,1.0,1.0,42.588287,-107570.17,-71666.98122395833,0.0,1.0,1.0,20.652701145807903,-107702.70454427083
78,-1169.5554,0.0,1.0,1.0,0.028830463,-76317.89,-43694.242102864584,0.0,1.0,1.0,4.1997668556372325,-76834.50580729167
79,-811.96814,0.0,1.0,1.0,0.27740592,-122018.75,-89734.0023828125,0.0,1.0,1.0,4.0897878539562225,-122893.98955729167
80,-337.2412,0.0,1.0,1.0,0.0875973,-122384.25,-88109.33377604166,0.0,1.0,1.0,3.8286014036337535,-122264.75830729166
81,50.96985,0.0,1.0,1.0,31.278234,-108406.74,-75005.28841145833,0.0,1.0,1.0,14.359630360603333,-108860.44205729167
82,-523.30347,0.0,1.0,1.0,0.03605986,-80299.9,-47437.200944010416,0.0,1.0,1.0,3.864736241896947,-81075.12477864583
83,-1852.7617,0.0,1.0,1.0,0.052735332,-136170.33,-103980.1355078125,0.0,1.0,1.0,4.011913382013639,-137652.08153645834
84,-311.58017,0.0,1.0,1.0,0.024795542,-83574.99,-50221.45290364583,0.0,1.0,1.0,3.6631224779287974,-83885.03911458333
85,-934.6487,0.0,1.0,1.0,0.031223306,-82295.66,-49700.21917317708,0.0,1.0,1.0,3.6832992931207023,-82811.01927083333
86,-663.94934,0.0,1.0,1.0,7.311316,-77374.28,-45886.18438802083,0.0,1.0,1.0,6.342251816590627,-77750.37572916667
