epoch,disc_loss,disc_model_3_acc,disc_model_3_acc_1,disc_model_3_loss,gen_loss,val_disc_loss,val_disc_model_3_acc,val_disc_model_3_acc_1,val_disc_model_3_loss,val_gen_loss
22,0.15754214,0.99,0.81,0.11452545,0.63998055,0.13787070943862814,0.7735390918245041,1.0,0.0,0.6210114114569047
23,0.12699053,0.94,0.97,0.056972317,0.52879924,0.05851136111182931,0.9519341588020325,1.0,0.0,0.5136667004338017
24,0.15583989,0.93,0.86,0.09923972,0.616505,0.15315109721304457,0.7471604931011121,1.0,0.0,0.6295415153228697
25,0.1377517,0.93,0.9,0.076903194,0.74334306,0.11764941760051398,0.8081481481285252,1.0,0.0,0.6240967804021796
26,0.14682081,1.0,0.88,0.10040448,0.40292206,0.054550745704598384,0.9672839577796528,1.0,0.0,0.4286448957988755
27,0.08802557,1.0,0.91,0.0740323,0.4526006,0.045087264513466584,0.9779012436238826,1.0,0.0,0.5052375703927421
28,0.38617885,0.97,0.35,0.36270273,0.8101929,0.35794431032467283,0.3046502056129185,1.0,0.0,0.7511360073776402
29,0.17540851,0.93,0.85,0.11286495,0.63855314,0.14285957117262202,0.7636625521467546,1.0,0.0,0.6316441334324119
30,0.24427508,0.59,0.99,0.020910228,0.3482174,0.0159194762492744,0.9935390988495124,1.0,0.0,0.26513679466620393
31,0.15735382,0.92,0.95,0.06421336,0.5526541,0.06089229857234798,0.9574485664014463,1.0,0.0,0.5624022719300823
32,0.070147134,0.98,0.97,0.03456469,0.6190302,0.0658518192300826,0.9360493845900391,1.0,0.0,0.6022727066352044
33,0.1244783,0.95,0.98,0.06100957,0.6000331,0.08352992245199259,0.9041152275148242,1.0,0.0,0.6316228818010401
34,0.27629977,0.5,1.0,0.01056311,0.38931027,0.021520453723676412,0.9958024731388798,1.0,0.0,0.3214616408196006
35,0.09510328,0.98,0.99,0.043522086,0.6386823,0.06596426052566419,0.9448148171597548,1.0,0.0,0.627442406038198
36,0.114792705,0.91,0.98,0.044394776,0.5922724,0.051748403436178536,0.9542386850702419,1.0,0.0,0.609953839837769
37,0.121225975,0.89,0.99,0.02179905,0.36729226,0.01790747083646893,0.9954732551005642,1.0,0.0,0.3445469523653572
38,0.1125865,0.98,0.92,0.08850393,0.74516815,0.10385160500743261,0.8726337446597378,1.0,0.0,0.6850083995257876
39,0.1431523,0.98,0.83,0.10872862,0.7055549,0.10954662786467086,0.8461728407522288,1.0,0.0,0.6735784099916372
40,0.20470473,0.69,0.96,0.03672026,0.40885174,0.06865314538341491,0.9020576138555267,1.0,0.0,0.4664460632781433
41,0.3004109,1.0,0.47,0.28237122,0.90515214,0.37613066883734714,0.32329218160100437,1.0,0.0,0.9122619655887776
42,0.13785693,0.94,0.86,0.08516285,0.771944,0.17120001078755767,0.7053497951217149,1.0,0.0,0.7485713085519924
43,0.06341167,0.99,1.0,0.0459897,0.817798,0.08185744330041693,0.9192181094683738,1.0,0.0,0.6987283906818907
44,0.1329517,0.99,0.87,0.116984986,0.724346,0.13907211764481822,0.780617284431379,1.0,0.0,0.7397137664473106
45,0.09374474,0.96,0.94,0.055719633,0.73329854,0.09037417713016149,0.8984773683940432,1.0,0.0,0.7045308410385509
46,0.118845016,0.92,0.96,0.05871202,0.7112027,0.17832988157193846,0.6946913565627832,1.0,0.0,0.7460480153315352
47,0.1374352,0.82,0.96,0.0326066,0.39770183,0.04898749722681418,0.956502062057762,1.0,0.0,0.47986364941047543
48,0.09134269,0.99,0.96,0.061605148,0.6330029,0.07071440892271054,0.9337448588124028,1.0,0.0,0.5877761785630826
49,0.089786716,0.94,0.98,0.029478585,0.5292442,0.05030096200421268,0.9345267498444138,1.0,0.0,0.5067905901390829
50,0.13718556,0.95,0.84,0.09065935,0.6958637,0.09911266974951505,0.8549382723407981,1.0,0.0,0.6984836530292966
51,0.08661313,0.99,0.93,0.060661335,0.6596323,0.06843843799345042,0.9313991810559246,1.0,0.0,0.6590056515034334
52,0.08851522,0.92,0.99,0.022300122,0.41804278,0.027170538450035538,0.9890535042119124,1.0,0.0,0.44189795164904966
53,0.07799916,0.99,0.97,0.0432382,0.62960255,0.04685469873157548,0.9571604986249664,1.0,0.0,0.626628160231398
54,0.25126782,0.62,0.93,0.049089003,0.37461147,0.0722244544253673,0.8730864176534331,1.0,0.0,0.3554114969178973
55,0.21944137,0.63,1.0,0.0036071735,0.32668588,0.019400274501768528,0.9930864248746707,1.0,0.0,0.30556468690128485
56,0.24925894,1.0,0.5,0.24624115,0.8046248,0.2493805103463891,0.5233744820694864,1.0,0.0,0.8316300391169732
57,0.113725245,0.97,0.93,0.054402728,0.7650883,0.17176413171207955,0.6948559670536606,1.0,0.0,0.7235272781839096
58,0.1022286,0.99,0.89,0.0818049,0.79589635,0.08601749050641747,0.8927983543509809,1.0,0.0,0.7498028275897964
59,0.22025521,1.0,0.63,0.19415422,0.86906415,0.2357954543559149,0.5515226328078612,1.0,0.0,0.7668985891244049
60,0.06413335,0.96,1.0,0.02476506,0.7100707,0.08052109893978623,0.91119341717826,1.0,0.0,0.6977148794342951
61,0.115846135,0.99,0.88,0.09164088,0.8624845,0.15919997073985911,0.7377777786411867,1.0,0.0,0.7966341261019922
62,0.14419854,0.96,0.84,0.10977785,0.87268645,0.2525104286739365,0.5535802437690059,1.0,0.0,0.8656583205172064
63,0.090187386,0.97,0.94,0.052253727,0.6887758,0.07638953949627562,0.9025925942409185,1.0,0.0,0.5955860611097312
