epoch,disc_loss,disc_model_3_acc,disc_model_3_acc_1,disc_model_3_acc_2,disc_model_3_loss,gen_loss,val_disc_loss,val_disc_model_3_acc,val_disc_model_3_acc_1,val_disc_model_3_acc_2,val_disc_model_3_loss,val_gen_loss
13,-96.11086,0.0,1.0,1.0,0.0035867176,-2223.4526,-3483.3028344726563,0.009739999786019325,0.0,0.4879599969983101,0.004211970542557538,-2247.859337890625
14,-166.51103,0.06,0.91,0.94,0.0032059283,-930.361,-3278.047392089844,0.09061999980732799,0.0,0.2822400004267693,0.009135635544545948,-1102.7259434814453
15,-133.56105,0.83,0.14,0.11,0.0029644223,219.4897,-2308.7288095703125,0.520919997215271,0.0,0.10566000001132489,0.009458205234259366,151.32045453643798
16,-456.80612,0.37,0.36,0.39,0.0033226095,-225.70868,-4008.1356977539062,0.2675000003576279,0.0,0.16496000021696092,0.01739366064965725,-449.0615848388672
17,-136.70775,0.54,0.37,0.44,0.0029915676,-329.72067,-2950.6958515625,0.3224600019454956,0.0,0.23805999991297722,0.004627091240603477,-421.4957653198242
18,-167.76363,0.48,0.53,0.47,0.0033542076,-343.37875,-1951.0750927734375,0.42959999746084215,0.0,0.2307199998497963,0.0037612291341647505,-297.65114599609376
19,-150.12729,0.04,0.99,0.96,0.0023225495,-1270.543,-3474.498980957031,0.010199999783188104,0.0,0.3830800004005432,0.003090680232271552,-1248.6069438476563
20,-341.50864,0.0,1.0,1.0,0.0018477784,-3505.3,-5606.974428710938,0.0005399999879300595,0.0,0.5335799968242645,0.002630772075382993,-3650.842289550781
21,-57.52236,0.0,1.0,1.0,0.0017431316,-2278.0964,-4555.353062011719,0.027459999546408653,0.0,0.4418999979496002,0.002466498465510085,-2491.6605317382814
22,-353.0786,0.37,0.57,0.59,0.001525058,-1091.2349,-2992.428569091797,0.39821999847888945,0.0013999999687075615,0.3543600010573864,0.002953280466608703,-1610.7236525878907
23,-232.53705,0.39,0.55,0.59,0.0013971546,-589.8973,-3170.4929477539063,0.26066000044345855,1.9999999552965164e-05,0.35554000148177145,0.0023406680207699536,-844.5915684814453
24,53.43096,0.26,0.66,0.69,0.0016655204,-1305.4594,-2056.507321044922,0.4042799989581108,0.007339999835938215,0.3655599998831749,0.0022531249653548,-1702.486728515625
25,212.00513,0.95,0.05,0.07,0.0013423838,1816.8811,-3069.3879331054686,0.9292000025510788,0.0,0.00971999979019165,0.007733890651259572,1708.363490966797
26,-819.15894,0.31,0.67,0.69,0.0017118519,-2727.3035,-5648.122979003906,0.26300000028312204,1.9999999552965164e-05,0.4381799982190132,0.002808039303869009,-3187.67042578125
27,-797.4865,0.0,1.0,1.0,0.0021770147,-8370.497,-8143.576849609375,0.004759999893605709,0.8850200012922287,0.9725400079488754,0.002212306612636894,-9007.676693359375
28,-570.789,0.79,0.15,0.19,0.0022782437,4617.361,2350.7057025146482,0.8022799978256225,0.0,0.10006000002473593,0.002747090213233605,4126.508312988281
29,470.14343,0.91,0.19,0.09,0.0014659078,1993.7233,-2438.5340854492188,0.9613800048828125,0.0,0.003779999915510416,0.0037356549347750843,1966.08933984375
30,-242.30528,0.33,0.63,0.63,0.0014842316,-136.4334,-3090.0855234375,0.39129999923706055,0.0,0.17204000006616116,0.0019492558045312762,-473.58258642578124
31,-222.95274,0.0,1.0,1.0,0.0012099419,-5353.2026,-7814.013029296875,0.0008199999816715717,0.0,0.5617199978232383,0.0017356405444443226,-5428.011650390625
32,246.03099,0.02,1.0,0.99,0.0013894828,-7132.953,-10562.271951171875,0.0028599999360740184,0.0,0.5434999970793724,0.0020333579832222315,-7600.974311523438
33,-5735.1006,0.68,0.25,0.28,0.01952324,11530.812,7673.028606933593,0.7088800008296967,0.11761999976634979,0.25672000020742414,0.021862359808757902,10421.032376953124
34,-64.07003,0.43,0.56,0.55,0.0014550633,107.19325,-5490.787810058594,0.4133799987733364,0.0,0.2487599994689226,0.0030250738305039704,-308.0454715077877
35,-380.04446,0.64,0.32,0.29,0.0011200728,2580.2776,669.5505069642066,0.6940000020265579,0.00417999990656972,0.1782600003182888,0.0016641940579283983,2073.117791503906
36,277.41418,0.15,0.85,0.81,0.00137868,-10600.867,-15188.954462890624,0.14914000016078352,0.0003199999928474426,0.5561799969673157,0.0020128120116423816,-12645.31364453125
37,705.6538,0.21,0.76,0.78,0.0014137919,-7769.7837,-9019.915129882813,0.2183799996227026,0.01427999970689416,0.5651799982190132,0.0016176225781673566,-7953.680123046875
