epoch,disc_loss,disc_model_3_acc,disc_model_3_acc_1,disc_model_3_loss,gen_loss,val_disc_loss,val_disc_model_3_acc,val_disc_model_3_acc_1,val_disc_model_3_loss,val_gen_loss
12,0.21305363,0.99,0.97,0.13756211,0.18224299,0.6907535876035691,0.941140000462532,0.26598000031709673,0.35974453449249266,0.339145497739315
13,0.2732501,0.88,0.97,0.12666412,0.22928585,0.7209693150520324,0.7894199987649918,0.0934599997997284,0.3706430279016495,0.3497022194862366
14,0.41439736,0.27,0.85,0.15201063,0.3320532,0.7491113193035126,0.2955400009453297,0.5925999994277954,0.38334763807058336,0.3653927897810936
15,0.18593106,0.91,1.0,0.062451597,0.23383123,0.7256310949325562,0.9166600021123886,0.0005599999874830246,0.3842260646820068,0.344347722530365
16,0.35215688,0.98,0.43,0.24718182,0.4132963,0.7098210532665252,0.7708799990415574,0.7269200007915497,0.3666422283053398,0.3483948679566383
17,0.2637359,0.68,0.98,0.067938104,0.39854917,0.7158243051767349,0.6840800015926362,0.998560001373291,0.3554319087862968,0.3622670022249222
18,0.2658901,0.87,0.93,0.12890452,0.17925875,0.7435521473884582,0.6466199998855591,0.9988000011444091,0.376586865067482,0.368700528383255
19,0.36300832,0.69,0.82,0.1737504,0.26081005,0.7370752023458481,0.6889800019264222,0.7847399988174438,0.37092000406980513,0.36766495937108995
20,0.30504403,0.84,0.85,0.14882429,0.36729828,0.7261116106510163,0.9795800112485885,0.010939999759197235,0.38692567551136015,0.3416570728421211
21,0.40149888,0.61,0.71,0.19839676,0.23872349,0.7679757535457611,0.6175399994254113,0.004579999897629023,0.3953514931797981,0.3784020298719406
22,0.396916,0.51,0.73,0.17723365,0.18047068,0.7508361006975174,0.6691600008010864,0.31324000242352484,0.3847223613262177,0.3751237198114395
23,0.32184064,0.67,0.9,0.12954877,0.25500587,0.7296677935123443,0.5946599989533424,0.9428400024175644,0.368873675763607,0.36469213086366653
24,0.55187374,0.89,0.08,0.40667415,0.25655177,0.728217905163765,0.36816000086069106,0.9989200010299683,0.3520573540329933,0.3788758045434952
25,0.28457683,0.89,0.88,0.14927885,0.21400076,0.7459460928440094,0.36038000071048737,0.9940000056028366,0.3720883272886276,0.37971039950847624
26,0.3649013,0.54,0.91,0.15161738,0.21443804,0.7433360832929611,0.48209999734163284,0.9884800095558166,0.3739907958507538,0.37260036236047744
27,0.47372115,0.77,0.24,0.28623348,0.2209553,0.7262930672168731,0.533779996573925,0.9973200025558472,0.36311041355133056,0.3663818123936653
28,0.3156921,0.94,0.79,0.18102945,0.13667694,0.746912015080452,0.7408399995565415,0.007059999842196703,0.388690313398838,0.3593633954524994
29,0.34501225,0.92,0.76,0.18039402,0.25503674,0.7459853551387787,0.5156399962306023,0.9400600019693375,0.3716525475382805,0.37353510594367983
30,0.367101,0.58,0.84,0.15907538,0.19475468,0.7445303208827972,0.7172400010824204,0.9926600060462951,0.3764240702986717,0.3673175151348114
31,0.40261316,0.5,0.7,0.18667765,0.26899558,0.7584305225610734,0.4672999974489212,0.786299998998642,0.38538549906015396,0.37096910482645035
32,0.35904104,0.46,1.0,0.11893103,0.27574283,0.7699654901027679,0.1410999999269843,0.7760399984121322,0.3864856857061386,0.3840625509619713
33,0.34980065,0.84,0.66,0.19379903,0.16418259,0.7721248602867127,0.35956000101566316,0.26732000026106834,0.39132263833284375,0.38088832414150237
34,0.28434816,0.6,1.0,0.0804487,0.093138516,0.7693107165098191,0.4008999988436699,0.007039999846369028,0.3929617587327957,0.375797058403492
35,0.25183052,0.94,0.99,0.12923664,0.17322758,0.779968937754631,0.2973200009465218,0.41149999856948855,0.3925760887861252,0.38794632399082185
36,0.37689042,0.88,0.31,0.24669258,0.23906796,0.746459095954895,0.04719999964162707,0.9994600005149842,0.35759908419847486,0.38908169442415236
37,0.36537737,0.54,0.92,0.13791385,0.23208664,0.7384931522607804,0.24909999978542327,0.9959800037145614,0.35823271578550336,0.3807085840702057
38,0.45335913,0.13,0.92,0.14818221,0.25978127,0.7723459216356278,0.09506000000983476,0.9706600073575974,0.3807921881079674,0.39174035865068435
39,0.3377056,0.81,0.84,0.16641407,0.28432238,0.7657722103595733,0.19046000018715858,0.9673200062513352,0.3780996236205101,0.388383289039135
40,0.28394943,0.89,0.96,0.14375204,0.13767976,0.7637370965480804,0.20554000045359136,0.971120007276535,0.37666364580392836,0.3880125169157982
41,0.31728518,0.98,0.54,0.20802914,0.32793957,0.771743711233139,0.3475200009942055,0.4375199979543686,0.38655932861566544,0.3859793844819069
42,0.470475,0.16,0.69,0.17768228,0.21001881,0.7713816043138504,0.1413999997675419,0.9262600001096726,0.38111387521028517,0.3899716081023216
43,0.30958843,0.77,0.96,0.12614536,0.23556125,0.7743398846387863,0.08946000019460916,0.963460005402565,0.3841508527398109,0.3900426724553108
44,0.38014412,0.43,0.99,0.13099846,0.21831547,0.7803116468191147,0.5041999964118004,0.7045000015497208,0.39269798117876054,0.3890264021754265
45,0.4312855,0.28,0.94,0.13602059,0.30905765,0.7804779103994369,0.5698599977493286,0.20925999957323074,0.3938891195654869,0.3873280205130577
46,0.40779284,0.93,0.24,0.26706284,0.18416655,0.7636700743436813,0.48347999662160873,0.9050600023269654,0.37774305444955825,0.3863895621299744
47,0.43433088,0.88,0.26,0.27251855,0.32524335,0.779509947180748,0.4887399979233742,0.9247000019550323,0.39200703537464143,0.3869928178191185
48,0.4061725,0.51,0.79,0.18065636,0.1918333,0.77445822930336,0.5054199951887131,0.7686599987745285,0.3872066104412079,0.38853716349601747
49,0.32457784,0.74,0.86,0.15159269,0.28213778,0.7774853152036667,0.14668000028282405,0.9998600001335144,0.38224056458473205,0.3953450862169266
50,0.39080688,0.68,0.7,0.19148569,0.19333272,0.766051797747612,0.4517799972891808,0.9918800073862076,0.37669300973415376,0.389556020796299
51,0.3497523,0.78,0.83,0.16715372,0.14550361,0.7837358778715133,0.422639997959137,0.32510000145435336,0.39466995108127595,0.38844074529409406
52,0.3723543,0.77,0.63,0.19487272,0.23985842,0.7827078566551209,0.27314000052213666,0.8968400020599365,0.3903154019117355,0.39224775022268293
53,0.3928681,0.78,0.42,0.23680958,0.20276158,0.787363948225975,0.5096199967265129,0.31104000136256216,0.39515371733903887,0.39119475382566454
54,0.3259028,0.8,0.88,0.15923649,0.24626869,0.7528446592092514,0.16646000049263238,0.9998000001907349,0.35974395644664764,0.39306343537569044
55,0.35019028,0.87,0.54,0.21236932,0.26350754,0.7673350120782853,0.15980000020563603,0.9988600010871888,0.37188965076208114,0.3957574895620346
56,0.4008553,0.63,0.62,0.2128194,0.25136787,0.7795999088287353,0.45317999708652495,0.8704600002765656,0.38851357203722,0.3912881065607071
57,0.37671286,0.67,0.73,0.18387218,0.21535306,0.7711871402263641,0.7212000004053116,0.9239400004148484,0.38258459359407426,0.3895305504202843
58,0.37625223,0.96,0.45,0.2290407,0.12965389,0.7785105658769608,0.4711599974036217,0.984300010919571,0.3854265612363815,0.3926753445267677
59,0.2798013,0.94,0.98,0.15147538,0.29061282,0.784885635972023,0.2761600002348423,0.9583200031518936,0.38993651562929155,0.3946637989282608
60,0.40672547,0.64,0.6,0.2049376,0.21217461,0.7856737385988235,0.2869000008702278,0.9184600021839142,0.39039743757247924,0.3952126535773277
61,0.39240932,0.6,0.76,0.1843974,0.16777168,0.7785119888782501,0.8496599992513657,0.7359600002765656,0.39184456127882006,0.3855229064822197
62,0.40336263,0.24,0.97,0.13887139,0.21235016,0.7835612691640854,0.37759999942779543,0.9587800045013428,0.39109236001968384,0.39217508882284163
63,0.3954315,0.44,0.82,0.15778789,0.28050724,0.7765719289779663,0.19936000005900859,0.9955800040960312,0.3815615636706352,0.3950975240468979
64,0.35639605,0.84,0.63,0.19390604,0.23822217,0.7712677830457687,0.4283999988436699,0.9948400048017502,0.37709219443798064,0.39431041926145555
65,0.3826275,0.85,0.47,0.21822663,0.17840752,0.7783283506631851,0.44417999643087386,0.9961400036811828,0.38423609495162964,0.39438132828474043
66,0.44123524,0.57,0.39,0.24054486,0.22091444,0.7740993295907974,0.632020001232624,0.9975400023460388,0.38192810875177385,0.39348785668611524
67,0.39470667,0.61,0.76,0.1822642,0.2601955,0.7804017604589463,0.7864199984073639,0.9636600043773651,0.38818145978450774,0.3915766851902008
68,0.35490096,0.78,0.64,0.19154948,0.19474076,0.789174200296402,0.6883000011444091,0.7087000014781952,0.3960348055958748,0.3942621830701828
69,0.44273114,0.91,0.18,0.2896925,0.24872738,0.7897168742418289,0.5403999970555305,0.9131600016355514,0.3937186311483383,0.39563291043043136
70,0.345217,0.77,0.84,0.17420164,0.19085489,0.7849334318637848,0.711140001654625,0.9311400011777878,0.3901688973903656,0.39478395026922225
71,0.37154835,0.53,0.88,0.15472516,0.18738003,0.7764754567146301,0.1557600002363324,0.9994400005340576,0.37828150486946105,0.3984013333916664
72,0.3832728,0.7,0.65,0.20201702,0.23360723,0.7877540868520737,0.3930199989974499,0.9739800099134445,0.3901437881588936,0.3969749685525894
73,0.45738164,0.86,0.2,0.30389127,0.39570588,0.7857050806283951,0.5196999970078469,0.9676400068998336,0.38954777145385744,0.3959945487976074
74,0.3155588,0.94,0.72,0.18623005,0.23582393,0.7910670158863068,0.7033000010251999,0.8395999994277954,0.3954867593646049,0.39534242552518845
75,0.45592076,0.5,0.5,0.22557515,0.1912519,0.7896934868097305,0.5261399966478347,0.9398000009059906,0.39238974899053575,0.39776106739044187
76,0.41141742,0.54,0.65,0.19650541,0.2547573,0.7918530259132385,0.29138000163435934,0.9748400090932846,0.39203033220767974,0.400038361787796
77,0.42220318,0.61,0.51,0.2180263,0.2660193,0.7904644873142243,0.4367199977040291,0.9856000112295151,0.39189563459157944,0.3988373852968216
78,0.3532827,0.8,0.73,0.18170851,0.28788573,0.7801990073919296,0.16129999992996455,0.9917400074005127,0.3806849004030228,0.39951833522319796
79,0.3940413,0.51,0.72,0.1773029,0.115581,0.7777385867834091,0.46621999686956406,0.9834600107669831,0.38123562788963317,0.3960653377175331
80,0.31940156,0.92,0.47,0.21962371,0.23110656,0.7826010739803314,0.5376399976611137,0.9924400069713593,0.38602840971946717,0.39630584156513216
81,0.45154336,0.21,0.84,0.17176422,0.18054165,0.7926869622468948,0.5415999966263771,0.5900799979567528,0.3967628639340401,0.3955626382827759
82,0.47307196,0.19,0.65,0.19741291,0.26346576,0.7921259520053864,0.6390200013518333,0.8164199985265732,0.3955605850815773,0.3969379945397377
83,0.46151248,0.69,0.31,0.2638153,0.32559147,0.7947183938026429,0.6105800005197525,0.7282600017786026,0.396866182744503,0.3978126592636108
84,0.38999355,0.57,0.8,0.17388862,0.21613094,0.7940381615161896,0.26164000007510185,0.8756600004434586,0.3944090363383293,0.3994689314365387
85,0.39765555,0.56,0.73,0.1897792,0.21793884,0.7915973930358887,0.41779999792575834,0.9882600098848343,0.3924210354685783,0.39908114677667617
