epoch,disc_loss,disc_model_3_acc,disc_model_3_acc_1,disc_model_3_loss,gen_loss,val_disc_loss,val_disc_model_3_acc,val_disc_model_3_acc_1,val_disc_model_3_loss,val_gen_loss
61,0.25281614,0.59,0.97,0.038508367,0.22424178,0.08877629066817462,0.8927000007629394,1.0,3.220795938737586e-06,0.2559308931529522
62,0.24541458,0.55,0.98,0.026194224,0.24307536,0.09180974421836435,0.8816200003623963,1.0,5.607266660303354e-06,0.2656561655700207
63,0.1348874,0.85,0.97,0.035162844,0.51591593,0.15878063274174928,0.7307399995326996,1.0,2.2340133631206793e-06,0.4701734806895256
64,0.18718027,0.94,0.85,0.12219745,0.5743962,0.2558867794200778,0.5072599988728762,1.0,5.006716860108895e-06,0.5791108300089836
65,0.19208214,0.98,0.81,0.1448156,0.5753416,0.233368839526549,0.5505599994063377,1.0,3.2521237090501614e-06,0.5794954826235771
66,0.2230885,1.0,0.64,0.1988924,0.54826796,0.2452588205114007,0.5092799986898899,1.0,1.301083690778082e-06,0.5754736088514328
67,0.19139573,0.77,0.98,0.044436943,0.39120823,0.09127305724099279,0.8833000011444092,1.0,4.234842920934192e-06,0.3516828938126564
68,0.26148894,0.96,0.62,0.21886595,0.6719258,0.29692369790375234,0.4201199989616871,1.0,3.768724118202727e-08,0.6630135462284088
69,0.23985961,0.83,0.85,0.12678728,0.46344188,0.13945676555950196,0.7822399998903274,1.0,1.7784336626930353e-07,0.42596127223968505
70,0.4863111,0.09,1.0,0.0053868904,0.13704932,0.058967048397287725,0.9526600043773651,1.0,7.989617945418886e-06,0.1131381211578846
71,0.20454526,0.97,0.73,0.15560882,0.6351449,0.2949990840703249,0.4209799991995096,1.0,4.101480867398366e-07,0.6663061998486519
72,0.22982891,0.68,0.95,0.04957666,0.2892273,0.10469761266931892,0.848920001745224,1.0,2.1631093385148166e-05,0.27454316487908365
73,0.17585318,0.96,0.79,0.12283042,0.7813781,0.28745427329838275,0.4456600001901388,1.0,2.4483445885794543e-06,0.7322956235408783
74,0.20336223,0.95,0.71,0.14966807,0.6968422,0.20013372180983424,0.6181999983191491,1.0,2.630560986087152e-05,0.5835965131521225
75,0.20977531,0.92,0.81,0.14012451,0.5652705,0.2251330235823989,0.5744199982881546,1.0,3.483160497836438e-06,0.6360595719218254
76,0.17257395,0.86,0.96,0.057468325,0.54989797,0.1769537695199251,0.6771399993300438,1.0,1.4792869598507086e-05,0.521638262629509
77,0.25642896,0.49,1.0,0.008942429,0.35351261,0.10504723488911986,0.8572600021362304,1.0,4.3564041773373475e-05,0.4000704810023308
78,0.11347872,0.94,0.97,0.046041913,0.37452275,0.1660001497603953,0.705279999434948,1.0,5.6899906707809845e-05,0.46004360157251356
79,0.19354984,0.89,0.85,0.1144807,0.632318,0.24654074463248252,0.5360599992275238,1.0,1.6545661643040388e-06,0.5606989887952805
