epoch,disc_loss,disc_model_3_acc,disc_model_3_acc_1,disc_model_3_loss,gen_loss,val_disc_loss,val_disc_model_3_acc,val_disc_model_3_acc_1,val_disc_model_3_loss,val_gen_loss
33,0.22687407,0.99,0.71,0.16894946,0.1905534,0.5879287991921107,0.3063333340299626,0.9990333342552185,0.21364752568304538,0.3704757636288802
34,0.26412895,0.72,0.94,0.09261131,0.3399327,0.6454901111125946,0.8767666668196519,0.9943666719396909,0.26666935995221136,0.37466657608747483
35,0.29919264,0.73,0.83,0.14614148,0.2784937,0.6594241430362066,0.5232666655505697,0.9903000084559123,0.2829407842954,0.3685829591254393
36,0.2868349,0.92,0.61,0.19061723,0.28696966,0.6425964143872261,0.4653666644046704,0.9817666772007942,0.26568209677934645,0.3744454953571161
37,0.29304314,0.75,0.88,0.1288504,0.26794827,0.6285921697815259,0.6021166664858659,0.9963833367824555,0.247679650709033,0.3774645446737607
38,0.2498884,0.72,0.97,0.07842606,0.08056627,0.6539730042219162,0.7357666669785976,0.9848000099261601,0.2803127487003803,0.3672251921892166
39,0.2649248,0.48,0.99,0.053068895,0.1882081,0.6707418971260388,0.343600000012666,0.9967500030994415,0.2859513539572557,0.37047470713655156
40,0.31136212,0.47,0.96,0.09146206,0.23897785,0.6649827672044436,0.4898833326001962,0.9979000020027161,0.28103004172444346,0.37670866956313453
41,0.20485792,0.9,0.96,0.08971041,0.1185768,0.6250018438696862,0.6112499985098839,0.9934000061949094,0.24530800859133403,0.3709029166897138
42,0.44767177,0.23,0.78,0.16375494,0.3306185,0.6660710055629412,0.8682833340267341,0.9966833364963531,0.28549866661429407,0.3756011819342772
43,0.3231386,0.91,0.61,0.19164534,0.10760545,0.7054393009344737,0.42034999904533227,0.9938000057140987,0.326277905056874,0.37364921857913336
44,0.40642616,0.12,0.93,0.117497005,0.35081676,0.6953436886270841,0.7820666649440924,0.9884666763742764,0.30641520977020265,0.38566006898880006
45,0.30722082,0.71,0.87,0.1220557,0.1878156,0.6584408281246821,0.0,0.9962000036239624,0.2682772008081277,0.3864985966185729
46,0.4481138,0.4,0.61,0.2018737,0.30988723,0.670941046377023,0.47249999980131785,0.9995333337783814,0.2915276199082534,0.37395875548322993
47,0.33949366,0.45,0.98,0.11298315,0.3466139,0.6783142994840939,0.002333333281179269,0.9780666770537695,0.294586710135142,0.3769339046875636
48,0.4069569,0.6,0.62,0.19237179,0.38527188,0.6764462187886238,0.003916666579122345,0.9873000100255013,0.2889459279179573,0.3822401376068592
49,0.32009506,0.65,0.83,0.13068306,0.14298314,0.6880451569954554,0.00029999999329447744,0.9985166680812836,0.3016747789581617,0.3829048279921214
50,0.46802548,0.03,1.0,0.07715371,0.4181856,0.7304172117511432,0.0,0.7600333310166995,0.33956584860881167,0.3886834260324637
51,0.42326498,0.83,0.37,0.28852317,0.29280347,0.7204518900314967,0.45594999849796297,0.6262833322584629,0.3357545432448387,0.3808433829744657
52,0.2982902,0.99,0.5,0.23410115,0.33695802,0.6955020823081335,0.6789333325872818,0.991783340672652,0.31509515633185703,0.3714537896215916
53,0.026565,1.0,1.0,0.020734003,0.35176313,0.6716077442963918,0.4451666657005747,0.9922500072916349,0.29246200079719226,0.36338462750116984
54,0.3292783,0.64,0.9,0.12959328,0.2944998,0.7192683702707291,0.15083333344198763,0.7612499999006589,0.3345681937535604,0.3801835885147254
55,0.24438,0.77,0.93,0.09798258,0.27158475,0.7056544617811839,3.3333332588275274e-05,0.9647666729489962,0.32030548398693404,0.3818760166068872
56,0.28262988,1.0,0.35,0.24409418,0.28185257,0.7249421280622482,0.0012166666394720475,0.7816166666150093,0.3409717390934626,0.3760131268699964
57,0.19233775,0.91,1.0,0.068041705,0.09586873,0.7476928371191025,0.03141666635250052,0.45556666389107703,0.3628674055635929,0.37861877143383027
58,0.23659006,0.87,0.91,0.11315461,0.29384747,0.7307711849610011,0.8229666648308436,0.8001833323637645,0.35236372212568917,0.3660342651605606
59,0.27782446,0.7,0.97,0.08519131,0.24061456,0.7187675626079242,0.08693333330564201,0.923300001223882,0.33311666230360665,0.3791103808085124
60,0.06639048,1.0,1.0,0.042967185,0.5583411,0.6790698483586312,0.17866666729251543,0.9850833438833555,0.3048411652445793,0.35554035474856693
61,0.2401057,0.9,0.88,0.13388985,0.20781653,0.6699013079206149,0.032333333007991315,0.9904666749636332,0.29340489839514095,0.37164112865924837
62,0.25752768,0.85,0.92,0.11231551,0.36729583,0.7010437568028768,0.0643999997060746,0.9704833410183589,0.31548062041401864,0.37981569533546766
63,0.31818965,0.73,0.9,0.13894533,0.3509147,0.6886241014798482,0.1402499997522682,0.9945000051458677,0.3029267218708992,0.37908308977882066
64,0.41022766,0.31,0.86,0.15868157,0.3152885,0.7022684887051582,0.006099999866758784,0.9140833354989688,0.3153014629582564,0.3808124896883964
65,0.25290582,0.99,0.7,0.1879692,0.3803655,0.7345595188935597,0.0001333333303531011,0.6594833346207937,0.3487540261944135,0.3813165934383869
